项目,规格
基础参数,
最大载荷,400kg
重量,320kg
材质,钢
底盘外形尺寸（长度×宽度×高度）,1096*696*995mm
底盘负载面尺寸,680*817.5mm
底盘离地间隙,25mm
驱动类型,双轮差速驱动
导航方式,前后双激光SLAM导航
控制方式,JAKA Coboπ软件；SDK
平均功率,600W
最大功率,1200W
用户接口,DI*7；DO*7；RS485*2；USB*1；RJ45*2；HDMI*1
IP等级,IP20
底盘运动性能,
可越过最大间隙,30mm
可越过最高台阶,10mm
最大爬坡,3° /  5%
最大速度,1.5m/s
前进额定速度,0.8m/s
后退额定速度,0.3m/s
最大加速度,0.3m/s²
定位精度,±10mm
对接精度,±5mm
旋转直径,φ1250mm
电池性能,
电池类型,磷酸铁锂
额定电压,48V
最大充电电压,54.75V
放电截止电压,37.5V
最大电流,60A
充电循环次数,2000次，80%DOD
电池容量,30Ah*2
额定工况工作时长,8h
空载工作时长,12h
完全放电后充电时长,2h
电池重量（单个）,13±3kg
电池尺寸（长度×宽度×高度）,565*160*110mm
充电器连接线长度,1.5m
安全防护,
激光雷达,2个
读码器,1个
3D相机,2个（选配）
安全触边,2个
急停按钮,4个
环境,
温度范围,0-50°C
湿度范围,10-90%RH
使用海拔,≤1000m
